"linenum";"startnum";"endnum";"Name";"Name_1";"Shape_Leng";"type";"coordinates"
325;43;610;"外环路";"外环路";"9.8352309698";"LineString";"49606.63549999893,19158.730000000447,49599.36950000003,19165.35850000009"
326;43;41;"直走";"外环路";"28.9658404831";"LineString";"49606.63549999893,19158.730000000447,49578.61620000005,19166.07429999858"
327;558;41;"外环路";"外环路";"12.8209499328";"LineString";"49588.9523999989,19173.067099999636,49584.99390000105,19168.61930000037,49578.61620000005,19166.07429999858"
328;113;200;"外环路";"外环路";"1014.94809673";"LineString";"50845.17969999835,18796.782099999487,50856.05559999868,18796.782099999487,50874.813999999315,18798.07919999957,50888.58350000158,18799.27650000155,50913.12909999862,18801.77100000158,50926.29989999905,18803.766600001603,50943.22910000011,18805.562600001693,50948.15150000155,18805.69559999928,50961.721400000155,18807.957299999893,50979.5485999994,18810.884199999273,50993.91679999977,18814.21009999886,50996.04540000111,18815.141399998218,51001.810400001705,18815.052700001746,51019.37150000036,18818.06819999963,51041.72190000117,18822.857599999756,51065.31410000101,18827.735700000077,51079.81529999897,18831.327700000256,51104.02829999849,18838.77789999917,51118.52950000018,18842.76900000125,51137.1548999995,18848.62269999832,51158.84019999951,18855.008600000292,51183.452300000936,18863.390000000596,51204.07319999859,18871.239300001413,51235.47030000016,18884.676199998707,51260.74760000035,18895.58529999852,51281.235599998385,18904.897999998182,51307.57719999924,18917.536699999124,51321.28020000085,18923.922499999404,51336.97870000079,18932.570000000298,51360.12739999965,18944.54349999875,51372.36690000072,18951.46150000021,51380.08320000023,18955.585700001568,51386.86809999868,18955.851799998432,51405.8927000016,18966.62790000066,51420.52690000087,18975.40839999914,51422.256400000304,18979.66569999978,51432.63340000063,18986.05150000006,51448.33190000057,18996.428500000387,51459.640200000256,19004.94299999997,51480.12810000032,19018.24680000171,51490.77120000124,19025.430900000036,51504.740299999714,19034.07840000093,51518.31019999832,19043.92330000177,51536.53649999946,19055.63069999963,51549.97340000048,19064.145100001246,51561.14860000089,19072.39350000024,51584.164200000465,19088.446800000966,51598.199799999595,19098.36930000037,51614.763099998236,19108.746300000697,51625.14009999856,19116.329500000924,51640.20670000091,19125.90819999948,51651.781100001186,19133.690999999642,51662.457400001585,19140.67550000176,51674.53069999814,19150.05469999835,51684.10940000042,19156.939500000328,51705.46209999919,19171.806499999017,51716.637299999595,19179.190200001,51724.71939999983,19184.777800001204,51731.604200001806,19189.76669999957,51737.43530000001,19193.96539999917,51742.28049999848,19198.048399999738,51749.24370000139,19202.70129999891,51753.400800000876,19205.352099999785"
329;195;127;"外环路";"外环路";"749.256662361";"LineString";"51715.00939999893,19215.115600001067,51710.752099998295,19209.439300000668,51697.74390000105,19200.68829999864,51681.261900000274,19188.77400000021,51661.838300000876,19175.204100001603,51645.873700000346,19164.294900000095,51631.77160000056,19153.784899998456,51610.35240000114,19139.283700000495,51588.534099999815,19124.516399998218,51561.6603000015,19105.49190000072,51542.23669999838,19092.188000001013,51527.86850000173,19082.47619999945,51516.95939999819,19076.223400000483,51512.17000000179,19072.498300001025,51492.0811999999,19060.391800001264,51469.73070000112,19044.959399998188,51444.586399998516,19026.99920000136,51425.960999999195,19015.690900001675,51417.3134999983,19010.50239999965,51410.92770000175,19008.772900000215,51408.26689999923,19008.639899998903,51395.36219999939,19000.6576000005,51378.59930000082,18990.54659999907,51369.153599999845,18983.628600001335,51361.96950000152,18979.504399999976,51354.65239999816,18974.182900000364,51338.15560000017,18964.870200000703,51320.3284999989,18955.15839999914,51297.97800000012,18943.98310000077,51268.70949999988,18929.747999999672,51239.041900001466,18916.577199999243,51214.42980000004,18906.865400001407,51208.625900000334,18903.677900001407,51201.170299999416,18900.878699999303,51196.07129999995,18899.542199999094,51172.78950000182,18890.697999998927,51063.76029999927,18857.59690000117"
330;195;200;"拐弯";"外环路";"39.6134513314";"LineString";"51715.00939999893,19215.115600001067,51753.400800000876,19205.352099999785"
331;41;27;"外环路";"外环路";"239.380908676";"LineString";"49578.61620000005,19166.07429999858,49561.23250000179,19170.686299998313,49546.86430000141,19175.120900001377,49534.80220000073,19181.86149999872,49520.07919999957,19186.118799999356,49498.615699999034,19192.68200000003,49495.954900000244,19193.036800000817,49483.892799999565,19193.39149999991,49478.57119999826,19193.92370000109,49451.96350000054,19200.664299998432,49417.373500000685,19209.88830000162,49382.60610000044,19219.64449999854,49356.53060000017,19224.788600001484,49348.01610000059,19226.7397999987"
332;209;195;"直走";"外环路";"45.4603004165";"LineString";"51752.61490000039,19240.659000001848,51715.00939999893,19215.115600001067"
883;200;209;"拐弯";"中五路";"35.3156456343";"LineString";"51753.400800000876,19205.352099999785,51752.61490000039,19240.659000001848"
333;27;23;"直走";"外环路";"100.843032846";"LineString";"49348.01610000059,19226.7397999987,49249.41939999908,19247.905999999493"
