"x";"y";"startnum";"linenum"
"52604.1396";"20302.9214";"454";"377"
"52604.1396";"20302.9214";"454";"378"
"50500.8559";"20361.781";"185";"282"
"50215.151";"19770.6377";"130";"154"
"48522.537";"20365.9071";"53";"548"
"48995.4939";"20380.2262";"95";"774"
"48995.4939";"20380.2262";"95";"506"
"49032.4038";"20383.5174";"102";"775"
"49052.8894";"20339.7726";"98";"507"
"50500.8559";"20361.781";"185";"126"
"51099.906";"20348.5531";"284";"283"
"50496.7571";"20395.9403";"188";"155"
"50496.7571";"20395.9403";"188";"284"
"50519.0279";"20405.8978";"194";"156"
"50524.8954";"20391.1573";"191";"285"
"48552.1424";"20412.5377";"62";"549"
"48798.0826";"20271.7051";"70";"550"
"52235.4063";"20431.1773";"586";"113"
"52248.2091";"20433.7839";"432";"114"
"52240.1508";"20446.8758";"433";"115"
"52240.1508";"20446.8758";"433";"116"
"49246.3297";"20452.3426";"115";"776"
"49270.78";"20469.8323";"116";"777"
"48182.7411";"20246.9";"22";"379"
"51693.2365";"20479.4562";"374";"628"
"48320.7642";"20479.0466";"45";"551"
"51689.5257";"20487.1845";"577";"629"
"49756.8628";"20163.2913";"126";"182"
"50130.9304";"20492.0539";"165";"183"
"51606.7748";"20280.8703";"348";"573"
"51700.9485";"20507.3623";"383";"630"
"51700.9485";"20507.3623";"383";"631"
"51372.462";"20504.8508";"345";"574"
"51372.462";"20504.8508";"345";"575"
"51361.4198";"20526.6271";"572";"576"
"48301.5801";"20532.79";"48";"380"
"48301.5801";"20532.79";"48";"552"
"51140.578";"20356.4527";"294";"230"
"51298.0441";"20541.8683";"336";"577"
"48343.2786";"20547.0055";"54";"381"
"48320.7642";"20479.0466";"45";"382"
"48552.1424";"20412.5377";"62";"553"
"51298.0441";"20541.8683";"336";"231"
"51352.646";"20526.2356";"346";"578"
"51629.0958";"20238.2589";"344";"632"
"51723.5278";"20633.56";"406";"633"
"51749.2313";"20631.2328";"409";"634"
"50323.4186";"20640.6534";"201";"286"
"50130.9304";"20492.0539";"165";"184"
"49052.8894";"20339.7726";"98";"778"
"51749.2313";"20631.2328";"409";"635"
"50323.4186";"20640.6534";"201";"127"
"50519.0279";"20405.8978";"194";"287"
"51726.2187";"20660.8138";"410";"636"
"51726.2187";"20660.8138";"410";"637"
"50289.3875";"20663.3116";"197";"185"
"50289.3875";"20663.3116";"197";"288"
"49445.7362";"20669.8128";"134";"779"
"49445.7362";"20669.8128";"134";"488"
"49494.5613";"20670.7336";"137";"780"
"49472.5064";"20644.5989";"135";"489"
"50326.8044";"20673.3909";"215";"186"
"50342.7756";"20660.5539";"216";"289"
"49818.6878";"20681.6925";"155";"490"
"49829.252";"20684.5075";"157";"491"
"49829.252";"20684.5075";"157";"492"
"50342.7756";"20660.5539";"216";"128"
"50431.9567";"20738.1976";"249";"129"
"49472.5064";"20644.5989";"135";"493"
"50136.1639";"20750.1415";"187";"290"
"50431.9567";"20738.1976";"249";"130"
"50113.3949";"20762.005";"186";"494"
"50113.3949";"20762.005";"186";"291"
"50136.4233";"20775.6038";"190";"495"
"50136.1639";"20750.1415";"187";"292"
"50326.8044";"20673.3909";"215";"293"
"48343.2786";"20547.0055";"54";"383"
"49813.5157";"20838.597";"166";"479"
"51315.1294";"20572.747";"349";"232"
"49730.1061";"20858.7622";"163";"480"
"49733.9158";"20860.171";"164";"481"
"51366.586";"20857.5822";"386";"233"
"48408.1393";"20811.714";"78";"384"
"51366.586";"20857.5822";"386";"234"
"51360.9742";"20880.1019";"571";"235"
"49821.8424";"20839.5059";"167";"482"
"50023.9839";"20884.7241";"189";"294"
"49651.5958";"20896.5823";"160";"483"
"50019.1404";"20897.2917";"192";"295"
"49644.6394";"20899.0869";"159";"484"
"49503.6639";"20910.2378";"146";"781"
"49494.5613";"20670.7336";"137";"782"
"49537.7756";"20914.4805";"151";"485"
"49537.7756";"20914.4805";"151";"486"
"50019.1404";"20897.2917";"192";"487"
"49502.6066";"20935.0028";"150";"783"
"51285.7404";"20948.1855";"390";"236"
"50524.8954";"20391.1573";"191";"131"
"51285.7404";"20948.1855";"390";"52"
"51358.425";"20882.2303";"393";"237"
"51264.9784";"20965.8439";"389";"238"
"51295.8705";"20978.4593";"399";"132"
"51330.8696";"20949.3938";"401";"239"
"49996.5809";"20986.3061";"208";"296"
"49996.5809";"20986.3061";"208";"297"
"50136.4233";"20775.6038";"190";"298"
"49994.0954";"21002.7072";"212";"299"
"50016.2723";"20996.4571";"223";"300"
"49534.0408";"20932.7614";"152";"784"
"49488.8749";"21018.2464";"156";"785"
"49488.8749";"21018.2464";"156";"468"
"51295.8705";"20978.4593";"399";"240"
"49526.928";"21012.7172";"158";"469"
"49656.3588";"21028.9612";"169";"470"
"49517.7617";"21032.9056";"161";"786"
"49526.928";"21012.7172";"158";"471"
"49649.2748";"21025.3119";"168";"472"
"49812.3438";"21033.4573";"184";"473"
"49994.0954";"21002.7072";"212";"474"
"52992.2491";"21034.162";"524";"385"
"49801.187";"21032.3649";"180";"475"
"51231.3274";"21024.343";"396";"74"
"49032.4038";"20383.5174";"102";"508"
"52992.2491";"21034.162";"524";"386"
"52657.2131";"20358.0302";"456";"387"
"48951.9726";"21046.5297";"132";"509"
"48951.9726";"21046.5297";"132";"510"
"48932.0433";"21065.3603";"548";"511"
"49990.1528";"21082.7079";"231";"301"
"53005.3755";"21083.2976";"527";"388"
"53030.3772";"21052.3683";"526";"53"
"51207.7086";"21039.6036";"395";"241"
"51091.5997";"21088.6612";"377";"242"
"51091.5997";"21088.6612";"377";"243"
"51076.1814";"21105.7922";"567";"244"
"51699.1394";"21110.2352";"446";"54"
"51330.8696";"20949.3938";"401";"55"
"48476.9672";"21114.8681";"110";"389"
"50471.8723";"21119.2608";"301";"133"
"51699.1394";"21110.2352";"446";"56"
"51714.8314";"21111.9491";"578";"57"
"49997.9674";"21122.2043";"238";"302"
"48408.1393";"20811.714";"78";"44"
"48733.3432";"21133.6177";"121";"512"
"50494.3747";"21133.94";"305";"134"
"48710.9832";"21142.898";"120";"45"
"48710.9832";"21142.898";"120";"513"
"48371.6979";"21145.9999";"541";"528"
"51867.1285";"21149.1124";"457";"638"
"53022.4525";"21152.2898";"531";"390"
"51719.3744";"21121.0554";"448";"58"
"53020.3431";"21156.9068";"588";"391"
"51867.1285";"21149.1124";"457";"59"
"51751.5335";"20658.5178";"414";"639"
"51419.7542";"21166.5106";"428";"75"
"50695.1395";"21164.392";"343";"135"
"50605.2022";"21169.1176";"320";"136"
"50620.8508";"21170.9207";"328";"137"
"50674.3078";"21167.4088";"337";"138"
"51432.7629";"21172.3019";"430";"76"
"51432.7629";"21172.3019";"430";"77"
"51420.1186";"21173.8814";"573";"78"
"52540.8494";"20282.7606";"447";"117"
"52503.98";"21177.4739";"506";"60"
"48511.1379";"21178.1102";"114";"529"
"48511.1379";"21178.1102";"114";"392"
"52125.363";"21167.6883";"585";"61"
"51919.616";"21165.371";"461";"62"
"52080.6282";"21182.0527";"490";"63"
"52080.6282";"21182.0527";"490";"64"
"52457.093";"21184.9454";"504";"118"
"52457.093";"21184.9454";"504";"65"
"52125.988";"21180.5329";"493";"66"
"48417.4083";"20865.2913";"83";"393"
"48559.1134";"21195.6533";"118";"514"
"51919.616";"21165.371";"461";"640"
"51881.1404";"21199.9621";"460";"67"
"51881.1404";"21199.9621";"460";"641"
"51928.0713";"21199.7245";"464";"68"
"52091.9697";"21200.1127";"492";"69"
"52119.3163";"21201.883";"494";"70"
"50886.1776";"21206.0261";"368";"139"
"50438.9241";"20751.8507";"256";"140"
"52119.3163";"21201.883";"494";"71"
"52101.0169";"21207.8856";"584";"72"
"53005.3755";"21083.2976";"527";"73"
"48536.316";"21218.4149";"117";"394"
"48536.316";"21218.4149";"117";"515"
"50886.1776";"21206.0261";"368";"141"
"51264.9784";"20965.8439";"389";"142"
"50885.3819";"21227.5953";"370";"143"
"53043.7169";"21231.0492";"537";"395"
"53043.7169";"21231.0492";"537";"396"
"48587.7088";"21235.2736";"119";"397"
"48559.1134";"21195.6533";"118";"398"
"48926.8283";"21065.022";"131";"516"
"50949.5703";"21243.3215";"378";"245"
"50902.2622";"21243.8831";"372";"144"
"50899.012";"21220.8835";"371";"145"
"51631.1339";"21255.6176";"451";"79"
"50949.5703";"21243.3215";"378";"101"
"51069.6186";"21103.2846";"375";"246"
"50946.377";"21262.7391";"384";"146"
"50946.377";"21262.7391";"384";"247"
"51634.1688";"21262.9001";"576";"80"
"51657.544";"21264.4898";"455";"81"
"51657.544";"21264.4898";"455";"82"
"50981.4205";"21298.5992";"400";"147"
"50986.2602";"21260.2222";"394";"248"
"49769.1343";"21316.5843";"233";"929"
"49483.6265";"21319.6614";"176";"787"
"49762.7446";"21321.5157";"232";"930"
"49483.6265";"21319.6614";"176";"788"
"49517.7617";"21032.9056";"161";"789"
"51866.28";"21324.5168";"474";"642"
"49769.1343";"21316.5843";"233";"579"
"49997.9674";"21122.2043";"238";"931"
"51231.3274";"21024.343";"396";"83"
"50016.2723";"20996.4571";"223";"303"
"51866.28";"21324.5168";"474";"84"
"51928.0713";"21199.7245";"464";"643"
"50136.7572";"21339.4892";"289";"304"
"50136.7572";"21339.4892";"289";"249"
"49491.1986";"21342.13";"179";"790"
"49514.9362";"21323.9661";"181";"517"
"49775.6615";"21343.3786";"237";"932"
"49790.2554";"21325.8291";"236";"933"
"51857.699";"21345.2452";"482";"85"
"51857.699";"21345.2452";"482";"644"
"51894.6442";"21361.9855";"488";"86"
"51902.8171";"21336.443";"487";"645"
"50178.7389";"21369.0893";"297";"305"
"50180.9132";"21333.674";"295";"908"
"50986.2602";"21260.2222";"394";"102"
"50956.3445";"21381.222";"404";"250"
"51211.177";"21381.1169";"429";"103"
"49514.9362";"21323.9661";"181";"791"
"51902.8171";"21336.443";"487";"87"
"52068.3216";"21403.3062";"497";"88"
"50848.7343";"21411.4928";"397";"119"
"50695.1395";"21164.392";"343";"124"
"52068.3216";"21403.3062";"497";"89"
"52086.9268";"21407.5013";"582";"90"
"49548.6738";"21401.9447";"196";"792"
"49860.5638";"21421.7488";"271";"580"
"52071.1955";"21422.1804";"498";"91"
"50834.3864";"21427.0005";"398";"125"
"50834.3864";"21427.0005";"398";"120"
"49529.6085";"21427.1617";"198";"793"
"52074.4462";"21429.5494";"581";"92"
"52088.3531";"21431.2998";"501";"93"
"52088.3531";"21431.2998";"501";"94"
"49878.4796";"21441.2611";"273";"581"
"50928.4703";"21461.7684";"411";"251"
"50928.4703";"21461.7684";"411";"252"
"49548.9614";"21462.1944";"221";"794"
"50928.4703";"21461.7684";"411";"32"
"50981.4205";"21298.5992";"400";"253"
"49556.7732";"21417.6626";"207";"795"
"49274.7395";"21474.8298";"554";"518"
"49281.3239";"21475.8007";"170";"519"
"50953.4334";"21481.459";"419";"254"
"50960.144";"21467.1";"418";"255"
"49595.5872";"21475.7339";"230";"934"
"49491.1986";"21342.13";"179";"520"
"49288.3189";"21483.7625";"173";"521"
"49271.325";"21489.131";"171";"522"
"49271.325";"21489.131";"171";"523"
"50180.9132";"21333.674";"295";"256"
"50388.0949";"21491.6379";"347";"943"
"48587.7088";"21235.2736";"119";"399"
"48850.5929";"21496.7386";"144";"400"
"49288.3189";"21483.7625";"173";"524"
"49281.7682";"21493.3218";"555";"525"
"49790.2554";"21325.8291";"236";"582"
"49975.9615";"21500.8227";"290";"909"
"49580.8523";"21509.1877";"234";"796"
"49580.8523";"21509.1877";"234";"935"
"49595.5872";"21475.7339";"230";"797"
"49775.6615";"21343.3786";"237";"936"
"48829.2845";"21516.0222";"143";"401"
"48829.2845";"21516.0222";"143";"402"
"50387.394";"21516.0516";"350";"257"
"50387.394";"21516.0516";"350";"944"
"49959.0503";"21519.8877";"292";"583"
"49959.0503";"21519.8877";"292";"910"
"50388.0949";"21491.6379";"347";"258"
"50494.3747";"21133.94";"305";"945"
"51670.574";"21527.2031";"478";"646"
"49603.9272";"21536.6752";"241";"798"
