"FID";"road_name";"distance";"prev_bus_stop_x";"prev_bus_stop_y";"bus_stop_x";"bus_stop_y";"prev_bus_stop_id";"prev_bus_stop";"bus_stop_id";"bus_stop";"coordinates"
100;"801路";"3579.768005";"49614.7499";"19479.0643";"47783.3069";"19861.9722";"B09";"广美生活区站";"C04";"大学城(科学中心)总站";"49614.74989999831,19479.064300000668,49625.3227000013,19497.713799998164,49705.25580000132,19516.169900000095,49794.609700001776,19562.86160000041,49806.05469999835,19568.435600001365,49811.21009999886,19557.909099999815,49826.70499999821,19517.1053000018,49838.78830000013,19475.498100001365,49845.20910000056,19450.74219999835,49849.99769999832,19402.52160000056,49849.4386,19348.747900001705,49846.21150000021,19290.484400000423,49844.43609999865,19235.65230000019,49842.46269999817,19166.849899999797,49840.91589999944,19116.764699999243,49837.80930000171,19096.985399998724,49835.890000000596,19086.962799999863,49803.18239999935,19095.814500000328,49670.14950000122,19132.53220000118,49531.51319999993,19167.650299999863,49500.751699998975,19177.563200000674,49405.07030000165,19202.54600000009,49310.12579999864,19225.949400000274,49307.19790000096,19226.466899998486,49242.53790000081,19236.265799999237,49059.53550000116,19265.172499999404,48872.177999999374,19282.993599999696,48708.743599999696,19293.778799999505,48583.13919999823,19295.72839999944,48489.001899998635,19295.675599999726,48323.441500000656,19284.83920000121,48175.44359999895,19273.270799998194,47946.25580000132,19254.840799998492,47932.851900000125,19251.896699998528,47894.55160000175,19255.194299999624,47890.67110000178,19324.50470000133,47881.71819999814,19454.423200000077,47872.477499999106,19598.04949999973,47865.33100000024,19696.873100001365,47856.655900001526,19816.251699998975,47849.247900001705,19920.87519999966,47844.42969999835,19978.32310000062,47844.419500000775,19981.48580000177,47843.43279999867,19984.91010000184,47841.23330000043,19986.483600001782,47838.800799999386,19984.36719999835,47839.799400001764,19977.25290000066,47842.60350000113,19939.30440000072,47845.944699998945,19886.332699999213,47843.77219999954,19879.207800000906,47837.45459999889,19871.80640000105,47812.10280000046,19868.294799998403,47796.75,19864.552000001073,47783.30689999834,19861.972199998796"
101;"801路";"512.997666";"48475.6783";"19701.1931";"48941.4645";"19533.3733";"A03";"广大生活区站";"A02";"广大公寓站";"48475.67830000073,19701.193100001663,48497.461399998516,19699.2611999996,48524.89930000156,19660.867800001055,48544.71449999884,19641.692299999297,48567.95149999857,19620.420099999756,48592.14059999958,19606.531100001186,48632.43609999865,19589.26889999956,48670.99709999934,19580.4365000017,48786.63030000031,19570.017700001597,48829.09059999883,19561.98939999938,48901.79069999978,19554.590100001544,48933.50490000099,19551.532900001854,48941.46449999884,19533.373300001025"
102;"801路";"461.342938400241";"48608.8109";"20108.1057";"48475.6783";"19701.1931";"A04";"广大站";"A03";"广大生活区站";"48608.81089999899,20108.10570000112,48605.50409999862,20077.885499998927,48568.9215000011,20047.396299999207,48544.40230000019,20027.490600001067,48513.29300000146,19994.067499998957,48489.61169999838,19956.45100000128,48479.928199999034,19934.066199999303,48470.693700000644,19908.465999998152,48465.16490000114,19883.669199999422,48459.65780000016,19851.754799999297,48459.26060000062,19823.54899999872,48462.525400001556,19794.03730000183,48466.50530000031,19770.0636,48478.07290000096,19737.153400000185,48483.48919999972,19721.35570000112,48475.67830000073,19701.193100001663"
103;"801路";"915.155151428614";"49374.483";"20566.8268";"48608.8109";"20108.1057";"B08";"华师站";"A04";"广大站";"49374.482999999076,20566.826799999923,49377.29710000008,20545.583200000226,49348.71819999814,20514.170499999076,49331.207800000906,20498.928599998355,49294.134300000966,20469.70089999959,49240.10119999945,20435.672400001436,49167.92170000076,20402.532499998808,49102.72850000113,20381.119399998337,49008.561599999666,20359.608800001442,48965.28779999912,20347.442299999297,48936.348700001836,20336.906899999827,48898.07119999826,20318.11459999904,48848.42179999873,20286.315799999982,48826.517599999905,20272.323399998248,48799.67199999839,20247.876400001347,48745.07609999925,20207.20300000161,48690.506400000304,20158.30640000105,48661.61499999836,20132.903299998492,48628.44889999926,20102.003400001675,48608.81089999899,20108.10570000112"
104;"801路";"724.755273772546";"49470.1268";"21251.9715";"49374.483";"20566.8268";"B07";"星海学院站";"B08";"华师站";"49470.12680000067,21251.971500001848,49484.52980000153,21237.14189999923,49484.05730000138,21202.02650000155,49485.45930000022,21129.905000001192,49489.352299999446,21102.395799998194,49498.0326000005,21042.319800000638,49503.090900000185,21016.396699998528,49514.70659999922,20953.484700001776,49516.93629999831,20896.867400001734,49514.41600000113,20861.745999999344,49508.756599999964,20801.305799998343,49500.94280000031,20774.074799999595,49478.341099999845,20703.7723999992,49465.547200001776,20677.791000001132,49432.955899998546,20619.792500000447,49407.31830000132,20583.644600000232,49397.41090000048,20570.324900001287,49374.482999999076,20566.826799999923"
106;"361A路";"527.661097";"50077.7935";"20808.5704";"50463.4817";"20473.8414";"A12";"内环西路站1";"B16";"省中医大学城医院站";"50077.79349999875,20808.57039999962,50090.93730000034,20807.944400001317,50132.59200000018,20765.12779999897,50178.75519999862,20733.85850000009,50244.0223999992,20706.368999999017,50324.72320000082,20659.390000000596,50353.55350000039,20635.17940000072,50412.95309999958,20576.359200000763,50458.60929999873,20509.2173999995,50463.48169999942,20473.841400001198"
107;"361A路";"1789.449997";"50226.9943";"22139.2219";"50077.7935";"20808.5704";"B25";"中大站";"A12";"内环西路站1";"50226.99430000037,22139.22190000117,50233.9523999989,22120.749899998307,50130.85069999844,22015.12579999864,50037.28790000081,21930.280999999493,49906.30970000103,21808.118299998343,49881.28720000014,21808.034200001508,49881.3740000017,21780.985199999064,49837.73589999974,21733.501699998975,49754.70430000126,21661.148099999875,49697.98860000074,21607.105399999768,49604.00800000131,21511.62209999934,49777.90269999951,21323.776799999177,49986.32090000063,21097.76550000161,50006.12339999899,21086.036299999803,50007.484799999744,20994.98369999975,50014.110599998385,20964.487100001425,50036.77299999818,20894.599599998444,50060.683100000024,20851.70109999925,50077.79349999875,20808.57039999962"
108;"361A路";"509.511434744672";"50689.9801";"22336.0054";"50226.9943";"22139.2219";"B26";"中环东路站";"B25";"中大站";"50689.980099998415,22336.005399998277,50671.56170000136,22316.947299998254,50607.16820000112,22314.613499999046,50511.545499999076,22297.049699999392,50470.081099998206,22281.275699999183,50413.724599998444,22257.703499998897,50316.51929999888,22196.14779999852,50261.79639999941,22147.434799999,50226.99430000037,22139.22190000117"
109;"361A路";"1816.167134";"51423.405";"22479.2426";"50689.9801";"22336.0054";"B36";"广外正门站";"B26";"中环东路站";"51423.40500000119,22479.242600001395,51394.35289999843,22488.88639999926,51342.67929999903,22570.348900001496,51313.68670000136,22652.1240000017,51298.43439999968,22712.217700000852,51255.43820000067,22878.82090000063,51228.90520000085,22935.15569999814,51204.26069999859,22983.919300001115,51166.044700000435,23029.625700000674,51099.400800000876,23099.979299999774,51069.85940000042,23120.574799999595,51028.33370000124,23056.21440000087,50906.13320000097,22843.64620000124,50841.10830000043,22711.0951000005,50823.24309999868,22636.230099998415,50810.23380000144,22590.50780000165,50804.77969999984,22541.490299999714,50805.01850000024,22467.101500000805,50818.112700000405,22402.14189999923,50839.954700000584,22289.590900000185,50763.933100000024,22310.30070000142,50714.252700001,22315.90509999916,50689.980099998415,22336.005399998277"
111;"35路";"1489.673738";"48462.7556";"19309.9108";"47783.3069";"19861.9722";"B06";"广大正门站";"C04";"大学城(科学中心)总站";"48462.75560000166,19309.91079999879,48447.63060000166,19290.75769999996,48330.58379999921,19285.936599999666,48163.81740000099,19271.142599999905,48015.184099998325,19259.88899999857,47911.01749999821,19253.844999998808,47895.21110000089,19254.741200000048,47892.21279999986,19277.188700001687,47886.66750000045,19363.52100000158,47879.61580000073,19463.449999999255,47874.34730000049,19554.84569999948,47867.132199998945,19675.01909999922,47858.02299999818,19838.628299999982,47853.166900001466,19892.596200000495,47850.63630000129,19951.63369999826,47845.85319999978,19982.827799998224,47838.79690000042,19992.926199998707,47834.941100001335,19978.5736999996,47837.34970000014,19957.493599999696,47838.3040000014,19903.512299999595,47837.590700000525,19882.42179999873,47783.30689999834,19861.972199998796"
