"x";"y";"endnum";"linenum"
"48552.1424";"20412.5377";"62";"550"
"52248.2091";"20433.7839";"432";"113"
"52513.3006";"20250.9447";"444";"114"
"52232.286";"20439.4273";"641";"115"
"52248.2091";"20433.7839";"432";"116"
"49032.4038";"20383.5174";"102";"776"
"49246.3297";"20452.3426";"115";"777"
"48320.7642";"20479.0466";"45";"379"
"51606.7748";"20280.8703";"348";"628"
"48522.537";"20365.9071";"53";"551"
"51693.2365";"20479.4562";"374";"629"
"50130.9304";"20492.0539";"165";"182"
"50341.8054";"20228.0379";"162";"183"
"51372.462";"20504.8508";"345";"573"
"51684.086";"20503.0351";"633";"630"
"51693.2365";"20479.4562";"374";"631"
"51370.7696";"20514.9324";"627";"574"
"51352.646";"20526.2356";"346";"575"
"51352.646";"20526.2356";"346";"576"
"47842.075";"20005.5389";"12";"380"
"48320.7642";"20479.0466";"45";"552"
"51298.0441";"20541.8683";"336";"230"
"51500.6275";"20343.7925";"339";"577"
"48301.5801";"20532.79";"48";"381"
"48343.2786";"20547.0055";"54";"382"
"48343.2786";"20547.0055";"54";"553"
"51315.1294";"20572.747";"349";"231"
"51315.1294";"20572.747";"349";"578"
"51749.2313";"20631.2328";"409";"632"
"51700.9485";"20507.3623";"383";"633"
"51723.5278";"20633.56";"406";"634"
"50496.7571";"20395.9403";"188";"286"
"50323.4186";"20640.6534";"201";"184"
"49472.5064";"20644.5989";"135";"778"
"51751.5335";"20658.5178";"414";"635"
"50342.7756";"20660.5539";"216";"127"
"50342.7756";"20660.5539";"216";"287"
"51723.5278";"20633.56";"406";"636"
"51751.5335";"20658.5178";"414";"637"
"49728.8751";"20180.3259";"125";"185"
"50323.4186";"20640.6534";"201";"288"
"49270.78";"20469.8323";"116";"779"
"49472.5064";"20644.5989";"135";"488"
"49445.7362";"20669.8128";"134";"780"
"49494.5613";"20670.7336";"137";"489"
"50289.3875";"20663.3116";"197";"186"
"50326.8044";"20673.3909";"215";"289"
